1;2.658
2;3.61
3;5.258
4;4.317
5;4.697
6;3.051
7;1.221
8;1.032
9;1.193
10;1.107
11;2.282
12;2.463
13;2.546
14;3.21
15;3.371
16;2.775
17;1.273
18;0.92
19;0.981
20;0.523
21;0.471
22;2.234
23;2.9
24;1.51
25;4.692
26;4.85
27;1.934
28;2.514
29;2.501
30;4.558
31;2.78
32;1.521
33;0.784
34;0.826
35;1.585
36;4.767
37;1.575
38;2.356
39;7.949
40;4.277
41;4.933
42;2.544
43;0.846
44;0.87
45;0.803
46;1.15
47;1.015
48;0.833
49;7.041
50;5.2
51;5.172
52;3.529
53;2.646
54;1.729
55;1.623
56;1.488
57;2.655
58;1.794
59;5.825
60;3.009
61;8.385
62;11.844
63;7.456
64;9.229
65;4.591
66;4.111
67;1.757
68;0.697
69;0.817
70;8.813
71;6.921
72;9.654
73;1.763
74;2.425
75;2.584
76;1.861
77;3.266
78;2.974
79;1.958
80;1.63
81;1.825
82;1.028
83;1.53
84;2.096
85;5.433
86;3.657
87;8.025
88;7.599
89;5.01
90;2.153
91;1.037
92;0.806
93;1.009
94;2.267
95;2.192
96;2.594
97;2.243
98;1.608
99;2.505
100;1.758
101;2.496
102;3.56
103;2.732
104;1.73
105;1.872
106;1.146
107;1.783
108;1.391
109;5.721
110;8.179
111;6.63
112;4.541
113;5.353
114;3.851
115;2.355
116;1.192
117;1.481
118;1.485
119;3.134
120;3.343
121;2.543
122;1.801
123;3.142
124;3.041
125;4.812
126;2.388
127;1.12
128;0.446
129;0.44
130;0.751
131;2.284
132;2.909
133;4.251
134;5.574
135;16.711
136;8.299
137;3.487
138;1.782
139;1.449
140;1.825
141;0.69
142;1.189
143;5.289
144;5.495
145;11.597
146;13.331
147;6.825
148;11.643
149;6.608
150;5.907
151;2.154
152;1.261
153;0.914
154;1.062
155;1.046
156;1.579
157;2.746
158;3.067
159;4.084
160;2.922
161;2.546
162;3.138
163;1.908
164;0.97
165;1.06
166;1.58
167;4.497
168;4.11
169;6.547
170;5.648
171;6.232
172;6.544
173;5.874
174;3.343
175;2.248
176;0.827
177;0.559
178;0.842
179;1.208
180;2.29
181;3.134
182;7.658
183;3.918
184;3.772
185;3.667
186;6.1
187;2.75
188;1.832
189;0.721
190;1.73
191;1.947
192;2.79
193;3.174
194;2.947
195;4.123
196;3.808
197;2.83
198;2.085
199;3.154
200;1.653
201;0.801
202;0.544
203;0.68
204;1.502
205;2.201
206;4.844
207;4.409
208;3.684
209;2.411
210;2.289
211;1.65
212;1.637
213;1.247
214;0.72
215;2.647
216;2.05
217;4.439
218;6.574
219;8.491
220;7.32
221;4.586
222;2.45
223;1.877
224;0.976
225;0.959
226;0.476
227;0.547
228;1.633
229;4.351
230;4.596
231;8.245
232;4.187
233;3.252
234;3.549
235;4.264
236;1.521
237;0.831
238;1.921
239;1.781
240;1.185
