1;2.658;1
2;3.610;1
3;5.258;1
4;4.317;1
5;4.697;1
6;3.051;1
7;1.221;1
8;1.032;1
9;1.193;1
10;1.107;1
11;2.282;1
12;2.463;1
13;2.546;1
14;3.210;1
15;3.371;1
16;2.775;1
17;1.273;1
18;0.920;1
19;0.981;1
20;0.523;1
21;0.471;1
22;2.234;1
23;2.900;1
24;1.510;1
25;4.692;1
26;4.850;1
27;1.934;1
28;2.514;1
29;2.501;1
30;4.558;1
31;2.780;1
32;1.521;1
33;0.784;1
34;0.826;1
35;1.585;1
36;4.767;1
37;1.575;1
38;2.356;1
39;7.949;1
40;4.277;1
41;4.933;1
42;2.544;1
43;0.846;1
44;0.870;1
45;0.803;1
46;1.150;1
47;1.015;1
48;0.833;1
49;7.041;1
50;5.200;1
51;5.172;1
52;3.529;1
53;2.646;1
54;1.729;1
55;1.623;1
56;1.488;1
57;2.655;1
58;1.794;1
59;5.825;1
60;3.009;1
61;8.385;1
62;11.844;1
63;7.456;1
64;9.229;1
65;4.591;1
66;4.111;1
67;1.757;1
68;0.697;1
69;0.817;1
70;8.813;1
71;6.921;1
72;9.654;1
73;1.763;1
74;2.425;1
75;2.584;1
76;1.861;1
77;3.266;1
78;2.974;1
79;1.958;1
80;1.630;1
81;1.825;1
82;1.028;1
83;1.530;1
84;2.096;1
85;5.433;1
86;3.657;1
87;8.025;1
88;7.599;1
89;5.010;1
90;2.153;1
91;1.037;1
92;0.806;1
93;1.009;1
94;2.267;1
95;2.192;1
96;2.594;1
97;2.243;1
98;1.608;1
99;2.505;1
100;1.758;1
101;2.496;1
102;3.560;1
103;2.732;1
104;1.730;1
105;1.872;1
106;1.146;1
107;1.783;1
108;1.391;1
109;5.721;1
110;8.179;1
111;6.630;1
112;4.541;1
113;5.353;1
114;3.851;1
115;2.355;1
116;1.192;1
117;1.481;1
118;1.485;1
119;3.134;1
120;3.343;1
121;2.543;1
122;1.801;1
123;3.142;1
124;3.041;1
125;4.812;1
126;2.388;1
127;1.120;1
128;0.446;1
129;0.440;1
130;0.751;1
131;2.284;1
132;2.909;1
133;4.251;1
134;5.574;1
135;16.711;1
136;8.299;1
137;3.487;1
138;1.782;1
139;1.449;1
140;1.825;1
141;0.690;1
142;1.189;1
143;5.289;1
144;5.495;1
145;11.597;1
146;13.331;1
147;6.825;1
148;11.643;1
149;6.608;1
150;5.907;1
151;2.154;1
152;1.261;1
153;0.914;1
154;1.062;1
155;1.046;1
156;1.579;1
157;2.746;1
158;3.067;1
159;4.084;1
160;2.922;1
161;2.546;1
162;3.138;1
163;1.908;1
164;0.970;1
165;1.060;1
166;1.580;1
167;4.497;1
168;4.110;1
169;6.547;1
170;5.648;1
171;6.232;1
172;6.544;1
173;5.874;1
174;3.343;1
175;2.248;1
176;0.827;1
177;0.559;1
178;0.842;1
179;1.208;1
180;2.290;1
181;3.134;1
182;7.658;1
183;3.918;1
184;3.772;1
185;3.667;1
186;6.100;1
187;2.750;1
188;1.832;1
189;0.721;1
190;1.730;1
191;1.947;1
192;2.790;1
193;3.174;1
194;2.947;1
195;4.123;1
196;3.808;1
197;2.830;1
198;2.085;1
